form,team,short_name,overallStrength,defenceStrength,attackStrength,strength,assists,bonus,bps,clean_sheets,expected_goals_conceded,goals_conceded,goals_scored,ict_index,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,starts,team_a_score,team_h_score,total_points,value,was_home,yellow_cards,player_ID,position,oppStrength,next5Strength,expectedAssistHistory,expectedGIsHistory,expectedGoalsHistory,expectedGsConcededHistory,BPShistory,ictHistory,valueForMoney
0.0,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0,0,0.0,0,17,0,0,0,0,27,0,0,6,0,0,45,False,0,17,GK,2,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0,0,0.0,0,17,0,0,0,0,27,0,0,6,0,0,40,False,0,18,GK,2,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,16,NFO,1065,1080,1050,3,0,0,0,0,0.0,0,0,0.0,0,11,0,0,0,0,27,0,0,1,0,0,39,True,0,28,GK,4,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,AVL,1285,1350,1220,4,0,0,0,0,0.0,0,0,0.0,0,12,0,0,0,0,27,0,0,3,2,0,39,False,0,53,GK,2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,AVL,1285,1350,1220,4,0,0,0,0,0.0,0,0,0.0,0,12,0,0,0,0,27,0,0,3,2,0,40,False,0,57,GK,2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3,BOU,1100,1075,1130,3,0,0,0,0,0.0,0,0,0.0,0,6,0,0,0,0,27,0,0,2,0,0,40,False,0,80,GK,2,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3,BOU,1100,1075,1130,3,0,0,0,0,0.0,0,0,0.0,0,6,0,0,0,0,27,0,0,2,0,0,40,False,0,88,GK,2,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,BRE,1100,1090,1110,3,0,0,0,0,0.0,0,0,0.0,0,7,0,0,0,0,27,0,0,2,2,0,39,True,0,91,GK,3,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,BRE,1100,1090,1110,3,0,0,0,0,0.0,0,0,0.0,0,7,0,0,0,0,27,0,0,2,2,0,40,True,0,97,GK,3,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,BRE,1100,1090,1110,3,0,0,0,0,0.0,0,0,0.0,0,7,0,0,0,0,27,0,0,2,2,0,39,True,0,116,GK,3,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5,BHA,1210,1240,1180,3,0,0,0,0,0.0,0,0,0.0,0,10,0,0,0,0,27,0,0,0,3,0,39,False,0,141,GK,3,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7,CHE,1190,1230,1150,3,0,0,0,0,0.0,0,0,0.0,0,4,0,0,0,0,27,0,0,2,2,0,45,False,0,145,GK,3,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5,BHA,1210,1240,1180,3,0,0,0,0,0.0,0,0,0.0,0,10,0,0,0,0,27,0,0,0,3,0,40,False,0,147,GK,3,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5,BHA,1210,1240,1180,3,0,0,0,0,0.0,0,0,0.0,0,10,0,0,0,0,27,0,0,0,3,0,44,False,0,152,GK,3,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6,BUR,1045,1040,1050,2,0,0,0,0,0.0,0,0,0.0,0,3,0,0,0,0,27,0,0,2,0,0,39,True,0,169,GK,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
