form,team,short_name,overallStrength,defenceStrength,attackStrength,strength,assists,bonus,bps,clean_sheets,expected_goals_conceded,goals_conceded,goals_scored,ict_index,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,starts,team_a_score,team_h_score,total_points,value,was_home,yellow_cards,player_ID,position,oppStrength,next5Strength,expectedAssistHistory,expectedGIsHistory,expectedGoalsHistory,expectedGsConcededHistory,BPShistory,ictHistory,valueForMoney
0.0,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0,0,0.0,0,13,0,0,0,0,30,0,0,0,0,0,45,False,0,17,GK,5,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1,ARS,1365,1360,1370,5,0,0,0,0,0.0,0,0,0.0,0,13,0,0,0,0,30,0,0,0,0,0,40,False,0,18,GK,5,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,16,NFO,1065,1080,1050,3,0,0,0,0,0.0,0,0,0.0,0,8,0,0,0,0,30,0,0,1,1,0,38,True,0,28,GK,3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,AVL,1160,1180,1140,4,0,0,0,0,0.0,0,0,0.0,0,20,0,0,0,0,30,0,0,0,2,0,39,True,0,53,GK,3,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,AVL,1160,1180,1140,4,0,0,0,0,0.0,0,0,0.0,0,20,0,0,0,0,30,0,0,0,2,0,40,True,0,57,GK,3,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3,BOU,1100,1145,1055,3,0,0,0,0,0.0,0,0,0.0,0,9,0,0,0,0,30,0,0,1,2,0,40,True,0,80,GK,3,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3,BOU,1100,1145,1055,3,0,0,0,0,0.0,0,0,0.0,0,9,0,0,0,0,30,0,0,1,2,0,40,True,0,88,GK,3,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,BRE,1100,1090,1110,3,0,0,0,0,0.0,0,0,0.0,0,14,0,0,0,0,30,0,0,1,1,0,39,True,0,91,GK,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,BRE,1100,1090,1110,3,0,0,0,0,0.0,0,0,0.0,0,14,0,0,0,0,30,0,0,1,1,0,40,True,0,97,GK,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4,BRE,1100,1090,1110,3,0,0,0,0,0.0,0,0,0.0,0,14,0,0,0,0,30,0,0,1,1,0,39,True,0,116,GK,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5,BHA,1210,1240,1180,3,0,0,0,0,0.0,0,0,0.0,0,11,0,0,0,0,30,0,0,1,2,0,39,False,0,141,GK,4,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7,CHE,1125,1170,1080,3,0,0,0,0,0.0,0,0,0.0,0,6,0,0,0,0,30,0,0,2,2,0,45,True,0,145,GK,2,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5,BHA,1210,1240,1180,3,0,0,0,0,0.0,0,0,0.0,0,11,0,0,0,0,30,0,0,1,2,0,40,False,0,147,GK,4,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5,BHA,1210,1240,1180,3,0,0,0,0,0.0,0,0,0.0,0,11,0,0,0,0,30,0,0,1,2,0,41,False,0,148,GK,4,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6,BUR,1050,1050,1050,2,0,0,0,0,0.0,0,0,0.0,0,7,0,0,0,0,30,0,0,2,2,0,39,False,0,169,GK,3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6,BUR,1050,1050,1050,2,0,0,0,0,0.0,0,0,0.0,0,7,0,0,0,0,30,0,0,2,2,0,40,False,0,175,GK,3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
